"mod.1.AIC","mod.5.AIC","mod.8.AIC","mod.simp.AIC","mod.simp.1.AIC","mod.1.BIC","mod.5.BIC","mod.8.BIC","mod.simp.BIC","mod.simp.1.BIC","mod.1.AME","mod.5.AME","mod.8.AME","mod.simp.AME","mod.simp.1.AME","pyth.AME","Sim.Run"
-394.455618926899,-371.512695777795,-341.361475878114,-288.354516863238,-277.394664760309,-349.923315911679,-343.387030715551,-334.330059612552,-278.979295175823,-268.019443072895,0.0174290987560123,0.0205549515978651,0.0208853856675139,0.0297854893683941,0.0360116569112111,0.0175497670219934,18
-384.045328256186,-372.095699240456,-341.534040489331,-287.862627603776,-272.170453098478,-339.513025240966,-343.970034178212,-334.50262422377,-278.487405916361,-262.795231411063,0.0143602021213769,0.0225990555763707,0.0200601847401184,0.0305660930302759,0.0282866610014623,0.0214562102583677,19
-393.757214993088,-359.599374172549,-342.751749407923,-305.960565740668,-274.848021009947,-349.224911977868,-331.473709110305,-335.720333142362,-296.585344053253,-265.472799322532,0.0157326057105881,0.0158617421982657,0.0220181535425658,0.0384784520231125,0.0299439660540459,0.0200147163784242,20
-405.439108778659,-365.265756519243,-346.80163034163,-295.094116588764,-268.077727825927,-360.906805763439,-337.140091456999,-339.770214076069,-285.718894901349,-258.702506138513,0.0207222711590301,0.0211115216070455,0.0233322961003303,0.0330463909151691,0.026433933375226,0.0237191938518913,21
-395.473457601483,-365.654703020915,-344.059246992887,-287.142742753648,-281.596031235656,-350.941154586263,-337.529037958671,-337.027830727326,-277.767521066233,-272.220809548241,0.0152175163999065,0.0174712008987793,0.0209609964118033,0.0294368367631885,0.0356653918841452,0.0201313047796845,22
-394.014637448444,-366.490227325035,-340.633652534739,-288.939837351469,-268.067140041319,-349.482334433224,-338.364562262791,-333.602236269178,-279.564615664054,-258.691918353904,0.0150975214608196,0.0203085971560663,0.0211652394993946,0.0318358875682107,0.0280236449357272,0.0231908828804235,23
-390.689655696467,-357.655687991028,-344.95046964283,-302.850297262259,-278.850843814731,-346.157352681247,-329.530022928784,-337.919053377269,-293.475075574844,-269.475622127316,0.0145331652796439,0.0157692098400034,0.0237563403321474,0.0374629619850708,0.0321328748656301,0.0244653553452118,24
-393.342458778888,-364.54940522279,-343.666874465389,-288.35467013011,-269.491792028006,-348.810155763668,-336.423740160546,-336.635458199828,-278.979448442696,-260.116570340592,0.0149124319843772,0.0187400146435723,0.0224229675566851,0.0318451459282169,0.0270408527958243,0.0217385656540893,25
-380.773673648542,-358.953396632007,-340.072025466324,-281.690939771959,-280.322870102527,-336.241370633322,-330.827731569763,-333.040609200763,-272.315718084544,-270.947648415112,0.0130709393859808,0.0131715720956238,0.0189391195912389,0.0249124817498541,0.0343652057370325,0.0201636746434954,26
-401.513176517171,-369.884199638887,-344.221921813451,-289.250411132174,-284.89758055684,-356.980873501951,-341.758534576642,-337.19050554789,-279.875189444759,-275.522358869425,0.0177479455481027,0.0199498319172194,0.021998220183555,0.0338594714330061,0.0362434773010417,0.0210975233270002,27
-394.699538655407,-360.263322947853,-340.10472313934,-287.081103802231,-278.429231627506,-350.167235640187,-332.137657885609,-333.073306873779,-277.705882114817,-269.054009940091,0.0173039610615718,0.0177468749992259,0.019816643729106,0.0303717149854862,0.0340375353778576,0.0189480192860707,28
