"yearID","Home_Games","Away_Games","Home_Win_Per","Away_Win_Per","Total_Win_Per","Per_Wins_at_Home","Per_Wins_Away","Per_Losses_at_Home","Per_Losses_Away","Previous_Season_Total_Win_Per","Previous_Home_Win_Per","FP","HA_per_HG","HA_per_AG","HRA_per_HG","HRA_per_AG","H_per_HG","H_per_AG","HR_per_HG","HR_per_AG","RA_per_HG","RA_per_AG","RS_per_HG","RS_per_AG","P_per_HG","P_per_AG","SO_per_HG","SO_per_AG","SOP_per_HG","SOP_per_AG","BB_per_HG","BB_per_AG","BBP_per_HG","BBP_per_AG","RNS_per_HG","RNS_per_AG","RNSP_per_HG","RNSP_per_AG","X3B_per_HG","X3B_per_AG","X3P_per_HG","X3P_per_AG","Run_Dif_HG","Run_Dif_AG","Hit_Dif_HG","Hit_Dif_AG","HR_Dif_HG","HR_dif_AG","SO_Dif_HG","SO_Dif_AG","BB_Dif_HG","BB_Dif_AG","RNS_Dif_HG","RNS_Dif_AG","Trip_Dif_HG","Trip_Dif_AG","RS","RA","Previous_Away_Win_Per"
1982,81,81,0.469135802469136,0.432098765432099,0.450617283950617,0.520547945205479,0.479452054794521,0.48314606741573,0.51685393258427,0.358490566037736,0.46551724137931,0.979,9.5679012345679,9.07407407407407,0.765432098765432,0.777777777777778,8.97530864197531,8.75308641975309,0.654320987654321,0.604938271604938,4.58024691358025,4.17283950617284,4.34567901234568,4,3.14814814814815,3.22222222222222,5.02469135802469,5.7037037037037,5.17283950617284,4.25925925925926,2.88888888888889,2.79012345679012,2.87654320987654,2.7037037037037,6.85185185185185,6.65432098765432,7.17283950617284,6.79012345679012,0.320987654320988,0.246913580246914,0.197530864197531,0.283950617283951,-0.234567901234571,-0.17283950617284,-0.59259259259259,-0.32098765432098,-0.111111111111111,-0.17283950617284,0.148148148148151,-1.44444444444444,0.0123456790123502,0.0864197530864197,0.32098765432099,0.1358024691358,0.123456790123457,-0.037037037037037,676,709,0.229166666666667
1983,81,81,0.530864197530864,0.345679012345679,0.438271604938272,0.605633802816901,0.394366197183099,0.417582417582418,0.582417582417582,0.450617283950617,0.469135802469136,0.982,8.92592592592593,9.54320987654321,0.851851851851852,0.592592592592593,8.85185185185185,8.87654320987654,0.876543209876543,0.851851851851852,4.20987654320988,4.66666666666667,4.74074074074074,3.91358024691358,3.20987654320988,3.34567901234568,5.27160493827161,5.44444444444444,5.37037037037037,4.59259259259259,3.18518518518519,2.61728395061728,3.12345679012346,3.02469135802469,6.74074074074074,7.08641975308642,6.71604938271605,6.92592592592593,0.283950617283951,0.234567901234568,0.283950617283951,0.358024691358025,0.530864197530859,-0.75308641975309,-0.0740740740740797,-0.66666666666667,0.024691358024691,0.259259259259259,0.0987654320987605,-0.85185185185185,0.06172839506173,-0.40740740740741,-0.0246913580246897,-0.16049382716049,0,-0.123456790123457,701,719,0.432098765432099
1984,80,81,0.6375,0.555555555555556,0.596273291925466,0.53125,0.46875,0.446153846153846,0.553846153846154,0.438271604938272,0.530864197530864,0.981,9.3625,8.75308641975309,0.875,0.358024691358025,8.9625,8.61728395061728,1.075,0.617283950617284,4.5,3.67901234567901,5.175,4.2962962962963,2.875,2.49382716049383,5.8,6.20987654320988,5.7625,5.16049382716049,3.7375,3.30864197530864,2.825,2.66666666666667,6.8875,7,6.5125,7.06172839506173,0.3625,0.222222222222222,0.3,0.308641975308642,0.675,0.61728395061729,-0.4,-0.135802469135811,0.2,0.259259259259259,-0.0374999999999996,-1.04938271604939,0.9125,0.64197530864197,-0.375,0.0617283950617296,0.0625,-0.08641975308642,762,658,0.345679012345679
1985,81,81,0.506172839506173,0.444444444444444,0.475308641975309,0.532467532467532,0.467532467532468,0.464285714285714,0.535714285714286,0.596273291925466,0.6375,0.979,9.83950617283951,8.58024691358025,1.28395061728395,0.641975308641975,9.28395061728395,7.96296296296296,1.20987654320988,0.641975308641975,5.22222222222222,3.77777777777778,4.92592592592593,3.54320987654321,3.09876543209877,2.76543209876543,5.61728395061728,5.95061728395062,5.49382716049383,4.62962962962963,3.8641975308642,3.07407407407407,3.38271604938272,3.02469135802469,7.49382716049383,6.66666666666667,6.96296296296296,7.09876543209877,0.197530864197531,0.148148148148148,0.320987654320988,0.259259259259259,-0.29629629629629,-0.23456790123457,-0.555555555555561,-0.61728395061729,-0.0740740740740702,0,-0.123456790123449,-1.32098765432099,0.48148148148148,0.0493827160493798,-0.53086419753087,0.432098765432101,-0.123456790123457,-0.111111111111111,686,729,0.555555555555556
1986,80,80,0.525,0.35,0.4375,0.6,0.4,0.422222222222222,0.577777777777778,0.475308641975309,0.506172839506173,0.98,10.1625,9.1625,0.9875,0.8,9.425,8.1875,1.1125,0.825,4.9875,4.775,4.925,3.575,3.25,3.075,6.1875,5.8875,6.3625,5.6625,3.2625,3.0875,3.75,3.2125,6.875,6.7125,7.5125,6.6375,0.2125,0.125,0.1625,0.325,-0.0625,-1.2,-0.737499999999999,-0.975,0.125,0.0249999999999999,0.175,-0.225000000000001,-0.4875,-0.125,0.6375,-0.0750000000000002,0.05,-0.2,680,781,0.444444444444444
1987,80,81,0.5,0.444444444444444,0.472049689440994,0.526315789473684,0.473684210526316,0.470588235294118,0.529411764705882,0.4375,0.525,0.979,9.475,9.45679012345679,1.125,0.851851851851852,9.375,8.95061728395062,1.425,1.17283950617284,4.8625,5.08641975308642,4.7625,4.18518518518519,3.0125,3.04938271604938,6.2875,6.92592592592593,6.85,5.87654320987654,3.1125,3.14814814814815,4.025,3.77777777777778,7.175,7.16049382716049,7.55,7.41975308641975,0.2625,0.148148148148148,0.25,0.283950617283951,-0.0999999999999996,-0.901234567901231,-0.0999999999999996,-0.506172839506169,0.3,0.320987654320988,0.5625,-1.04938271604939,-0.912500000000001,-0.62962962962963,0.375,0.25925925925926,0.0125,-0.135802469135803,720,801,0.35
1988,82,81,0.475609756097561,0.469135802469136,0.47239263803681,0.506493506493506,0.493506493506494,0.494117647058824,0.505882352941176,0.472049689440994,0.5,0.98,9.69512195121951,8.62962962962963,0.865853658536585,0.54320987654321,9.34146341463415,8.82716049382716,0.707317073170732,0.679012345679012,4.54878048780488,3.96296296296296,4.21951219512195,3.87654320987654,2.85365853658537,2.7037037037037,5.42682926829268,5.74074074074074,5.90243902439024,5.09876543209877,2.5,2.44444444444444,2.79268292682927,3.22222222222222,7.0609756097561,6.87654320987654,7.31707317073171,7.27160493827161,0.353658536585366,0.209876543209877,0.207317073170732,0.234567901234568,-0.32926829268293,-0.0864197530864201,-0.35365853658536,0.19753086419753,-0.158536585365853,0.135802469135802,0.47560975609756,-0.641975308641969,-0.29268292682927,-0.77777777777778,0.25609756097561,0.39506172839507,0.146341463414634,-0.024691358024691,660,694,0.444444444444444
1989,81,81,0.592592592592593,0.555555555555556,0.574074074074074,0.516129032258065,0.483870967741935,0.478260869565217,0.521739130434783,0.47239263803681,0.475609756097561,0.98,8.74074074074074,8.16049382716049,0.790123456790123,0.518518518518518,9.06172839506173,8.69135802469136,0.753086419753086,0.777777777777778,4.12345679012346,3.5679012345679,4.7037037037037,3.96296296296296,3.20987654320988,2.96296296296296,5.19753086419753,6.17283950617284,6.24691358024691,5.08641975308642,2.92592592592593,2.90123456790123,3.19753086419753,3.37037037037037,6.66666666666667,6.82716049382716,7.09876543209877,7.20987654320988,0.234567901234568,0.320987654320988,0.234567901234568,0.172839506172839,0.58024691358024,0.39506172839506,0.320987654320989,0.530864197530869,-0.037037037037037,0.25925925925926,1.04938271604938,-1.08641975308642,-0.2716049382716,-0.46913580246914,0.432098765432101,0.38271604938272,0,0.148148148148149,702,623,0.469135802469136
1990,81,81,0.481481481481481,0.469135802469136,0.475308641975309,0.506493506493506,0.493506493506494,0.494117647058824,0.505882352941176,0.574074074074074,0.592592592592593,0.98,10.3950617283951,8.24691358024691,0.901234567901235,0.592592592592593,9.7283950617284,8.46913580246914,0.925925925925926,0.753086419753086,5.39506172839506,4.16049382716049,4.59259259259259,3.92592592592593,3.28395061728395,2.98765432098765,5.14814814814815,5.58024691358025,5.44444444444444,5.38271604938272,2.49382716049383,2.51851851851852,3.62962962962963,3.4320987654321,7.18518518518519,6.69135802469136,7.88888888888889,7.14814814814815,0.246913580246914,0.197530864197531,0.271604938271605,0.308641975308642,-0.80246913580247,-0.23456790123456,-0.666666666666702,0.22222222222223,0.024691358024691,0.160493827160493,0.296296296296291,-0.19753086419753,-1.1358024691358,-0.91358024691358,0.703703703703701,0.456790123456789,-0.024691358024691,-0.111111111111111,690,774,0.555555555555556
1991,83,77,0.55421686746988,0.402597402597403,0.48125,0.597402597402597,0.402597402597403,0.44578313253012,0.55421686746988,0.475308641975309,0.481481481481481,0.982,9.19277108433735,8.46753246753247,0.903614457831325,0.545454545454545,8.80722891566265,8.62337662337662,1.12048192771084,0.857142857142857,4.7710843373494,4.38961038961039,4.65060240963855,4.01298701298701,3.33734939759036,3.15584415584416,5.12048192771084,5.8961038961039,6.03614457831325,5.53246753246753,2.6144578313253,2.92207792207792,3.09638554216867,3.7012987012987,6.65060240963855,6.77922077922078,6.73493975903614,7.28571428571429,0.120481927710843,0.207792207792208,0.313253012048193,0.311688311688312,-0.12048192771085,-0.37662337662338,-0.3855421686747,0.15584415584415,0.216867469879515,0.311688311688312,0.915662650602409,-0.36363636363637,-0.48192771084337,-0.77922077922078,0.0843373493975905,0.50649350649351,-0.19277108433735,-0.103896103896104,695,734,0.469135802469136
1992,81,81,0.530864197530864,0.432098765432099,0.481481481481481,0.551282051282051,0.448717948717949,0.452380952380952,0.547619047619048,0.48125,0.55421686746988,0.982,8.25925925925926,8.24691358024691,0.604938271604938,0.716049382716049,8.77777777777778,8.75308641975309,0.728395061728395,0.555555555555556,3.66666666666667,4.03703703703704,3.88888888888889,3.4320987654321,3.23456790123457,3.37037037037037,5.07407407407407,5,5.91358024691358,5.20987654320988,2.93827160493827,2.20987654320988,3.44444444444444,3.65432098765432,7.18518518518519,6.98765432098765,7.25925925925926,7.18518518518519,0.308641975308642,0.197530864197531,0.271604938271605,0.160493827160494,0.22222222222222,-0.60493827160494,0.518518518518521,0.506172839506181,0.123456790123457,-0.160493827160493,0.83950617283951,0.20987654320988,-0.50617283950617,-1.44444444444444,0.0740740740740709,0.19753086419754,0.037037037037037,0.037037037037037,593,624,0.402597402597403
1993,82,81,0.524390243902439,0.506172839506173,0.515337423312883,0.511904761904762,0.488095238095238,0.487179487179487,0.512820512820513,0.481481481481481,0.530864197530864,0.982,9.28048780487805,9.2962962962963,1.14634146341463,0.728395061728395,9.5609756097561,9.09876543209877,0.926829268292683,1.04938271604938,4.65853658536585,4.40740740740741,4.64634146341463,4.40740740740741,3.68292682926829,3.49382716049383,5.52439024390244,5.80246913580247,5.75609756097561,5.34567901234568,2.71951219512195,2.75308641975309,3.07317073170732,2.69135802469136,6.80487804878049,7.09876543209877,6.76829268292683,6.60493827160494,0.195121951219512,0.197530864197531,0.280487804878049,0.185185185185185,-0.01219512195122,0,0.280487804878051,-0.19753086419753,-0.219512195121947,0.320987654320985,0.23170731707317,-0.45679012345679,-0.35365853658537,0.06172839506173,-0.0365853658536599,-0.49382716049383,-0.085365853658537,0.012345679012346,738,739,0.432098765432099
1994,59,54,0.338983050847458,0.537037037037037,0.433628318584071,0.408163265306122,0.591836734693878,0.609375,0.390625,0.515337423312883,0.524390243902439,0.982,9.54237288135593,9.09259259259259,1.20338983050847,0.907407407407407,8.27118644067797,9.75925925925926,0.796610169491525,1.14814814814815,4.86440677966102,4.85185185185185,3.66101694915254,5.25925925925926,3.59322033898305,3.46296296296296,6.30508474576271,7,6.47457627118644,6.2037037037037,3.23728813559322,3.2037037037037,3.28813559322034,3.66666666666667,7.11864406779661,7.07407407407407,6.88135593220339,7.16666666666667,0.203389830508475,0.259259259259259,0.186440677966102,0.277777777777778,-1.20338983050848,0.40740740740741,-1.27118644067796,0.66666666666667,-0.406779661016945,0.240740740740743,0.16949152542373,-0.7962962962963,-0.0508474576271198,-0.46296296296297,-0.23728813559322,0.0925925925925997,0.016949152542373,-0.018518518518519,500,549,0.506172839506173
1995,72,72,0.472222222222222,0.541666666666667,0.506944444444444,0.465753424657534,0.534246575342466,0.535211267605634,0.464788732394366,0.433628318584071,0.338983050847458,0.979,9.41666666666667,8.81944444444444,1.15277777777778,1.09722222222222,9.05555555555556,9.20833333333333,1.15277777777778,1.04166666666667,4.86111111111111,4.45833333333333,4.70833333333333,4.91666666666667,4.19444444444444,3.55555555555556,6.20833333333333,7.02777777777778,6.93055555555556,5.93055555555556,3.02777777777778,3.08333333333333,3.84722222222222,3.34722222222222,6.48611111111111,6.79166666666667,7.91666666666667,7.22222222222222,0.208333333333333,0.333333333333333,0.180555555555556,0.138888888888889,-0.152777777777779,0.458333333333339,-0.361111111111109,0.388888888888891,0,-0.05555555555555,0.722222222222229,-1.09722222222222,-0.81944444444444,-0.26388888888889,1.43055555555556,0.43055555555555,0.027777777777777,0.194444444444444,693,671,0.537037037037037
1996,81,81,0.530864197530864,0.407407407407407,0.469135802469136,0.565789473684211,0.434210526315789,0.441860465116279,0.558139534883721,0.506944444444444,0.472222222222222,0.983,8.93827160493827,8.92592592592593,1.12345679012346,1.14814814814815,8.64197530864197,8.49382716049383,1.19753086419753,0.962962962962963,4.59259259259259,4.92592592592593,5.09876543209877,4.4320987654321,3.71604938271605,3.7037037037037,6.66666666666667,6.79012345679012,6.55555555555556,6.12345679012346,3.37037037037037,3.08641975308642,3.18518518518519,3.55555555555556,6.58024691358025,6.72839506172839,6.91358024691358,7.01234567901235,0.135802469135802,0.0987654320987654,0.197530864197531,0.222222222222222,0.50617283950618,-0.49382716049383,-0.296296296296301,-0.4320987654321,0.07407407407407,-0.185185185185187,-0.11111111111111,-0.66666666666666,0.18518518518518,-0.46913580246914,0.333333333333329,0.28395061728396,-0.061728395061729,-0.123456790123457,772,771,0.541666666666667
1997,81,81,0.518518518518518,0.320987654320988,0.419753086419753,0.617647058823529,0.382352941176471,0.414893617021277,0.585106382978723,0.469135802469136,0.530864197530864,0.981,8.87654320987654,9.03703703703704,1.30864197530864,0.975308641975309,9.41975308641975,8.40740740740741,0.975308641975309,0.592592592592593,4.48148148148148,4.88888888888889,4.97530864197531,3.50617283950617,3.81481481481481,3.62962962962963,6.02469135802469,6.35802469135802,7.19753086419753,6.03703703703704,3.02469135802469,2.54320987654321,3.67901234567901,3.60493827160494,6.80246913580247,6.69135802469136,7.4320987654321,7.1358024691358,0.234567901234568,0.246913580246914,0.148148148148148,0.246913580246914,0.49382716049383,-1.38271604938272,0.543209876543209,-0.62962962962963,-0.333333333333331,-0.382716049382716,1.17283950617284,-0.32098765432098,-0.65432098765432,-1.06172839506173,0.62962962962963,0.44444444444444,0.08641975308642,0,687,759,0.407407407407407
1998,82,81,0.621951219512195,0.481481481481481,0.552147239263804,0.566666666666667,0.433333333333333,0.424657534246575,0.575342465753425,0.419753086419753,0.518518518518518,0.984,9.4390243902439,9.30864197530864,1.07317073170732,1.1358024691358,9.25609756097561,9.07407407407407,1.35365853658537,1.24691358024691,4.85365853658537,4.8641975308642,5.13414634146341,5.06172839506173,3.90243902439024,3.60493827160494,6.89024390243902,8.12345679012346,7.82926829268293,6.97530864197531,3.76829268292683,3.60493827160494,3.53658536585366,3.51851851851852,7.29268292682927,6.96296296296296,7.54878048780488,7.76543209876543,0.207317073170732,0.209876543209877,0.195121951219512,0.222222222222222,0.28048780487804,0.19753086419753,-0.18292682926829,-0.23456790123457,0.28048780487805,0.11111111111111,0.93902439024391,-1.14814814814815,0.23170731707317,0.0864197530864201,0.25609756097561,0.80246913580247,0.01219512195122,-0.012345679012345,831,792,0.320987654320988
1999,81,81,0.419753086419753,0.407407407407407,0.41358024691358,0.507462686567164,0.492537313432836,0.494736842105263,0.505263157894737,0.552147239263804,0.621951219512195,0.977,10.5555555555556,9.4320987654321,1.53086419753086,1.19753086419753,9.01234567901234,8.40740740740741,1.20987654320988,1.12345679012346,6.06172839506173,5.2962962962963,4.87654320987654,4.34567901234568,3.93827160493827,3.50617283950617,6.88888888888889,7.55555555555556,6.34567901234568,5.75308641975309,3.62962962962963,3.41975308641975,3.2962962962963,3.23456790123457,7.07407407407407,6.87654320987654,7.33333333333333,6.82716049382716,0.271604938271605,0.160493827160494,0.185185185185185,0.320987654320988,-1.18518518518519,-0.950617283950621,-1.54320987654326,-1.02469135802469,-0.32098765432098,-0.07407407407407,-0.543209876543211,-1.80246913580247,0.33333333333333,0.18518518518518,0.25925925925926,-0.0493827160493803,0.08641975308642,-0.160493827160494,747,920,0.481481481481481
2000,81,81,0.469135802469136,0.333333333333333,0.401234567901235,0.584615384615385,0.415384615384615,0.443298969072165,0.556701030927835,0.41358024691358,0.419753086419753,0.983,8.62962962962963,9.95061728395062,1.28395061728395,1.5679012345679,8.7037037037037,8.90123456790123,1.03703703703704,1.22222222222222,4.80246913580247,6.35802469135802,4.40740740740741,5.02469135802469,3.51851851851852,3.67901234567901,6.74074074074074,7.08641975308642,7.35802469135802,6.75308641975309,3.88888888888889,3.91358024691358,3.97530864197531,4.14814814814815,7.61728395061728,7.38271604938272,7.28395061728395,7.32098765432099,0.111111111111111,0.172839506172839,0.0987654320987654,0.259259259259259,-0.39506172839506,-1.33333333333333,0.0740740740740709,-1.04938271604939,-0.24691358024691,-0.34567901234568,0.61728395061728,-0.33333333333333,-0.0864197530864197,-0.23456790123457,-0.333333333333329,-0.0617283950617304,0.0123456790123456,-0.08641975308642,764,904,0.407407407407407
