Rk,Name,Prfct,Gcar,Gtm,Year,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24
34,Roy Halladay,,,,2010,Oct 6,PHI,,CIN,"W,4-0",SHO,W,99,9,0,0,0,1,8,0,0,---,28,104,79,23,19,12,7,1,3,0,94,0,0,0,27,0,0,0,0,0,0,0.44,0.3,6.92,2.61%,4.48
35,Matt Garza,,109,98,2010,Jul 26,TBR,,DET,"W,5-0",SHO,W,5,9,0,0,0,1,6,0,0,4.06,27,120,80,17,13,8,12,3,1,0,92,0,0,0,26,0,0,0,1,0,0,0.63,0.4,0.79,0.30%,4.25
36,Edwin Jackson,,155,74,2010,Jun 25,ARI,@,TBR,"W,1-0",SHO,W,5,9,0,0,0,8,6,0,1,4.63,36,149,79,24,17,11,10,2,2,0,85,2,1,0,27,0,0,0,0,0,1,1.78,0.815,0.08,0.02%,4.25
37,Roy Halladay,Y,324,48,2010,May 29,PHI,@,FLA,"W,1-0",SHO,W,5,9,0,0,0,0,11,0,0,1.99,27,115,72,26,8,8,8,2,2,0,98,0,0,0,27,0,0,0,0,0,0,1.22,0.838,1.85,0.76%,4.52
38,Dallas Braden*,Y,68,32,2010,May 9,OAK,,TBR,"W,4-0",SHO,W,5,9,0,0,0,0,6,0,0,3.33,27,109,77,25,5,7,14,5,3,0,93,0,0,0,27,0,0,0,0,0,0,0.5,0.339,0.57,0.23%,4.43
39,Ubaldo Jimenez,,87,11,2010,Apr 17,COL,@,ATL,"W,4-0",SHO,W,5,9,0,0,0,6,7,0,0,1.29,31,128,72,26,13,7,11,0,3,0,88,1,0,0,25,0,0,0,1,0,0,0.84,0.345,0.81,0.20%,4.3
40,Mark Buehrle*,Y,313,95,2009,Jul 23,CHW,,TBR,"W,5-0",SHO,W,4,9,0,0,0,0,6,0,0,3.28,27,116,76,22,6,11,10,2,2,0,93,0,0,0,27,0,0,0,0,0,0,0.41,0.29,0.59,0.25%,5.12
41,Jonathan Sanchez*,,106,86,2009,Jul 10,SFG,,SDP,"W,8-0",SHO,W,6,9,0,0,0,0,11,0,0,4.69,28,110,77,21,12,6,11,1,2,0,98,0,0,0,28,0,0,0,0,0,1,0.3,0.22,0.46,0.20%,4.57
42,Carlos Zambrano,,229,147,2008,Sep 14,CHC,@,HOU,"W,5-0",SHO,W,11,9,0,0,0,1,10,0,1,3.41,28,110,73,24,12,12,4,1,1,0,96,0,0,0,26,0,0,0,1,0,0,0.39,0.252,0.02,0.01%,4.45
43,Jon Lester*,,38,47,2008,May 19,BOS,,KCR,"W,7-0",SHO,W,4,9,0,0,0,2,9,0,0,3.41,29,130,86,23,18,11,7,2,0,0,94,0,0,0,27,0,0,0,0,0,0,0.42,0.257,0.61,0.22%,5.14
44,Clay Buchholz,,2,136,2007,Sep 1,BOS,,BAL,"W,10-0",SHO,W,14,9,0,0,0,3,9,0,1,1.8,30,115,73,22,17,6,11,3,1,0,93,0,0,1,26,0,0,0,0,0,0,0.62,0.316,0.17,0.05%,5.25
45,Justin Verlander,,45,63,2007,Jun 12,DET,,MIL,"W,4-0",SHO,W,5,9,0,0,0,4,12,0,0,2.79,30,112,73,19,19,10,4,2,1,0,95,0,0,0,26,0,0,0,1,0,0,0.79,0.479,1.09,0.40%,5.05
46,Mark Buehrle*,,232,13,2007,Apr 18,CHW,,TEX,"W,6-0",SHO,W,6,9,0,0,0,1,8,0,0,2.08,27,106,66,16,12,11,7,0,1,0,94,0,0,1,26,0,0,0,0,0,0,0.54,0.358,0.49,0.19%,5.15
47,Anibal Sanchez,,14,139,2006,Sep 6,FLA,,ARI,"W,2-0",SHO,W,4,9,0,0,0,4,6,0,0,2.89,31,103,67,19,11,12,9,3,2,0,89,0,0,0,27,0,0,0,1,0,1,1.08,0.571,1.93,0.61%,4.62
48,Randy Johnson*,Y,463,38,2004,May 18,ARI,@,ATL,"W,2-0",SHO,W,5,9,0,0,0,0,13,0,0,2.43,27,117,87,15,26,7,7,1,0,0,100,0,0,0,27,0,0,0,0,0,0,0.96,0.67,0.42,0.18%,4.72
49,Kevin Millwood,,174,25,2003,Apr 27,PHI,,SFG,"W,1-0",SHO,W,4,9,0,0,0,3,10,0,0,3.48,29,108,72,19,17,4,12,1,1,0,94,0,1,0,26,0,0,0,0,0,0,1.15,0.733,1.35,0.52%,4.33
50,Derek Lowe,,303,21,2002,Apr 27,BOS,,TBD,"W,10-0",SHO,W,5,9,0,0,0,1,6,0,0,2.04,28,97,66,27,8,13,8,1,0,0,92,0,0,0,27,0,0,0,0,0,0,0.38,0.196,0.51,0.16%,5.04
51,Bud Smith*,,13,137,2001,Sep 3,STL,@,SDP,"W,4-0",SHO,W,4,9,0,0,0,4,7,0,0,3.75,31,134,78,28,12,10,10,1,1,0,90,1,0,0,27,0,0,0,0,0,0,0.66,0.391,0.84,0.30%,4.3
52,A.J. Burnett,,22,35,2001,May 12,FLA,@,SDP,"W,3-0",SHO,W,4,9,0,0,0,9,7,0,1,0.6,36,129,65,20,9,7,12,1,2,0,85,3,0,0,26,0,0,0,1,0,0,1.2,0.453,0.82,0.19%,4.3
